Variable / Field Name,Form Name
chric_record_id,informed_consent_run_sheet
chric_missing,informed_consent_run_sheet
chric_missing_table,informed_consent_run_sheet
chric_missing_spec,informed_consent_run_sheet
chric_redcap_user,informed_consent_run_sheet
chric_ampscz_id,informed_consent_run_sheet
chric_consent_date,informed_consent_run_sheet
chric_passive,informed_consent_run_sheet
chric_surveys,informed_consent_run_sheet
chric_smartphone,informed_consent_run_sheet
chric_actigraphy,informed_consent_run_sheet
chric_reconsent_missing,informed_reconsent
chric_reconsent_missing_table,informed_reconsent
chric_reconsent_missing_spec,informed_reconsent
chric_reconsent_redcap_user,informed_reconsent
chric_reconsent_ampscz_id,informed_reconsent
chric_reconsent_date,informed_reconsent
chric_reconsent_age,informed_reconsent
chric_reconsent_hc,informed_reconsent
chric_reconsent_passive,informed_reconsent
chric_reconsent_smartphone,informed_reconsent
chric_reconsent_actigraphy,informed_reconsent
chric_reconsent_comments,informed_reconsent
chrmiss_interview_date,missing_data
chrmiss_instructions,missing_data
chrmiss_time,missing_data
chrmiss_domain,missing_data
chrmiss_withdrawn,missing_data
chrmiss_discon,missing_data
chrmiss_time_table,missing_data
chrmiss_time_spec,missing_data
chrmiss_time_comment,missing_data
chrmiss_domain_table,missing_data
chrmiss_domain_spec,missing_data
chrmiss_domain_comment,missing_data
chrmiss_domain_type,missing_data
chrmiss_domain_type___1,missing_data
chrmiss_domain_type___2,missing_data
chrmiss_domain_type___3,missing_data
chrmiss_domain_type___4,missing_data
chrmiss_domain_type___5,missing_data
chrmiss_domain_type___6,missing_data
chrmiss_domain_type___7,missing_data
chrmiss_withdrawn_table,missing_data
chrmiss_withdrawn_spec,missing_data
chrmiss_withdrawn_comment,missing_data
chrmiss_discon_table,missing_data
chrmiss_discon_spec,missing_data
chrmiss_discon_comment,missing_data
chrmiss_comments,missing_data
chrrecruit_missing,recruitment_source
chrrecruit_missing_table,recruitment_source
chrrecruit_missing_spec,recruitment_source
chrrecruit_interview_date,recruitment_source
chrrecruit_dateerror1,recruitment_source
chrrecruit_dateerror2,recruitment_source
chrrecruit_dateerror3,recruitment_source
chrrecruit_dateerror4,recruitment_source
chrrecruit_entry_date,recruitment_source
chrrecruit_dateerror5,recruitment_source
chrrecruit_dateerror6,recruitment_source
chrrecruit_redcap_user,recruitment_source
chrrecruit,recruitment_source
chrrecruit_physician,recruitment_source
chrrecruit_physician_other,recruitment_source
chrrecruit_nonphysician,recruitment_source
chrrecruit_nonphysician_other,recruitment_source
chrrecruit_child,recruitment_source
chrrecruit_child_other,recruitment_source
chrrecruit_community,recruitment_source
chrrecruit_community_other,recruitment_source
chrrecruit_psychiatry,recruitment_source
chrrecruit_psychiatry_other,recruitment_source
chrrecruit_college,recruitment_source
chrrecruit_college_other,recruitment_source
chrrecruit_school,recruitment_source
chrrecruit_school_other,recruitment_source
